RIC,MAX(ACCOUNT_DATE)
0996.HK         ,20210630
1063.HK         ,20221231
0207.HK         ,20221231
0398.HK         ,20230331
0088.HK         ,20220930
0224.HK         ,20220930
0588.HK         ,20221231
1165.HK         ,20221231
0657.HK         ,20230331
0122.HK         ,20230131
1182.HK         ,20220930
0938.HK         ,20220930
0334.HK         ,20221231
1065.HK         ,20210630
0677.HK         ,20230331
0616.HK         ,20220930
0051.HK         ,20221231
0604.HK         ,20221231
0226.HK         ,20221231
2030.HK         ,20221231
1050.HK         ,20220930
0126.HK         ,20220930
0163.HK         ,20220930
0084.HK         ,20220930
0287.HK         ,20220930
0495.HK         ,20221231
0547.HK         ,20221231
0488.HK         ,20230131
0738.HK         ,20230228
1047.HK         ,20221231
0851.HK         ,20221231
0406.HK         ,20220930
0771.HK         ,20221231
0716.HK         ,20221231
0328.HK         ,20220930
0882.HK         ,20221231
1105.HK         ,20221231
0684.HK         ,20220930
0082.HK         ,20221231
0752.HK         ,20221031
2008.HK         ,20221231
0114.HK         ,20220930
0146.HK         ,20221231
0222.HK         ,20221231
0650.HK         ,20220930
