RIC	MAX(ACCOUNT_DATE)
CDAY.K          	20230331
CDE             	20230331
CDIO.O          	20230331
CDLX.O          	20230331
CDMO.O          	20230131
CDNA.O          	20230331
CDNS.O          	20230331
CDRE.K          	20230331
CDRO.O          	20221231
CDTX.O          	20230331
CDW.O           	20230331
CDXC.O          	20230331
CDXS.O          	20230331
CDZI.O          	20230331
CE              	20230331
CEACU.O         	20220630
CEAD.O          	20230331
CECO.O          	20230331
CEF             	20230331
CEG.O           	20230331
CEI             	20230331
CEIX.K          	20230331
CELC.O          	20230331
CELH.O          	20230331
CELL.O          	20230331
CELU.O          	20230331
CELZ.O          	20230331
CEM             	20221130
CENN.O          	20220630
CENT.O          	20230325
CENX.O          	20230331
CEQP.K          	20230331
CERE.O          	20230331
CERS.O          	20230331
CERT.O          	20230331
CET             	20221231
CETU.O          	20230331
CETX.O          	20230331
CETY.O          	20230331
CEVA.O          	20230331
CF              	20230331
CFB.O           	20230331
CFBK.O          	20230331
CFFE.O          	20230331
CFFI.O          	20230331
CFFN.O          	20230331
CFFS.O          	20230331
CFG             	20230331
CFIV.O          	20230331
CFLT.O          	20230331
CFMS.O          	20230331
CFR             	20230331
CFRX.O          	20230331
CFSB.O          	20221231
CG.O            	20230331
CG.TO           	20230331
CGA             	20230331
CGBD.O          	20230331
CGEM.O          	20230331
CGEN.O          	20230331
CGNT.O          	20230430
CGNX.O          	20230402
CGRN.O          	20221231
CGTX.O          	20230331
CHAA.K          	20221231
CHCI.O          	20230331
CHCO.O          	20230331
CHCT.K          	20230331
CHD             	20230331
CHDN.O          	20230331
CHE             	20230331
CHEAU.O         	20230331
CHEF.O          	20230331
CHEK.O          	20230331
CHGG.K          	20230331
CHH             	20230331
CHK.O           	20230331
CHKP.O          	20230331
CHMG.O          	20230331
CHMI.K          	20230331
CHN             	20221031
CHNR.O          	20221231
CHO.O           	20210925
CHPT.K          	20230430
CHRD.O          	20230331
CHRS.O          	20230331
CHRW.O          	20230331
CHS             	20230429
CHSCP.O         	20230228
CHSN.O          	20221231
CHT             	20230331
CHTR.O          	20230331
CHUY.O          	20230326
CHWY.K          	20230430
CHX.O           	20230331
CHY.O           	20221031
CI              	20230331
CIA             	20230331
CIB             	20230331
CIEN.K          	20230429
CIFR.O          	20230331
CIG             	20230331
CIGI.O          	20230331
CIK             	20221231
CIM             	20230331
CINF.O          	20230331
CING.O          	20230331
CINT.K          	20230331
CIO             	20230331
CION.K          	20230331
CIR             	20230402
CISO.O          	20230331
CITE.O          	20230331
CIVB.O          	20230331
CIVI.K          	20230331
CIX             	20230331
CIZN.O          	20230331
CJET.O          	20230331
CJJD.O          	20230331
CJOY.O          	20211231
CKHL.O          	20220930
CKPT.O          	20230331
CKX             	20230331
CL              	20230331
CLAR.O          	20230331
CLAY.O          	20230331
CLB             	20230331
CLBK.O          	20230331
CLBR.K          	20230331
CLBT.O          	20230331
CLCO.OL         	20230331
CLDT.K          	20230331
CLDX.O          	20230331
CLEU.O          	20221231
CLF             	20230331
CLFD.O          	20230331
CLGN.O          	20230331
CLH             	20230331
CLIN.O          	20230331
CLIR.O          	20230331
CLLB.O          	20221231
CLLS.O          	20230331
CLMB.O          	20230331
CLMT.O          	20230331
CLNE.O          	20230331
CLNN.O          	20230331
CLOE.O          	20230331
CLOV.O          	20230331
CLPR.K          	20230331
CLPS.O          	20221231
CLPT.O          	20230331
CLRB.O          	20230331
CLRC.O          	20230331
CLRO.O          	20230331
CLS             	20230331
CLSD.O          	20230331
CLSK.O          	20230331
CLST.O          	20230331
CLVR.O          	20230331
CLVT.K          	20230331
CLW             	20230331
CLWT.O          	20221231
CLX             	20230331
CM              	20230430
CMA             	20230331
CMAX.O          	20230331
CMBM.O          	20230331
CMC             	20230228
CMCA.O          	20221231
